0 0.000 0.369
1 0.775 1.368
2 1.490 1.713
3 2.089 2.808
4 2.529 2.809
5 2.782 3.117
6 2.839 3.787
7 2.709 2.980
8 2.419 2.419
9 2.013 2.960
10 1.545 2.262
11 1.076 1.717
12 0.665 1.558
13 0.368 0.582
14 0.227 0.782
15 0.270 0.737
16 0.507 1.264
17 0.927 1.799
18 1.504 1.734
19 2.192 2.298
20 2.939 3.549
21 3.683 4.190
22 4.363 5.039
23 4.925 5.263
24 5.325 6.096
25 5.536 5.905
26 5.547 6.090
27 5.369 5.667
28 5.028 5.334
29 4.569 5.447
30 4.045 4.589
31 3.517 3.882
32 3.046 3.206
33 2.686 3.144
34 2.479 2.562
35 2.455 2.895
36 2.622 3.415
37 2.971 3.002
38 3.473 3.875
39 4.086 4.569
40 4.755 5.423
41 5.420 5.538
42 6.018 6.832
43 6.498 7.058
44 6.814 6.836
45 6.938 6.996
46 6.863 7.580
47 6.596 7.376
48 6.166 7.097
49 5.616 6.253
50 5.000 5.576
51 4.379 4.609
52 3.815 4.649
53 3.360 4.302
54 3.058 3.626
55 2.938 3.232
56 3.009 3.009
57 3.262 4.063
58 3.667 4.259
59 4.183 4.489
60 4.755 5.123
61 5.322 6.149
62 5.824 6.186
63 6.207 6.736
64 6.426 6.710
65 6.455 6.900
66 6.284 6.943
67 5.922 6.689
68 5.397 5.563
69 4.753 5.504
70 4.045 4.985
71 3.333 4.167
72 2.677 3.547
73 2.133 2.577
74 1.743 2.136
75 1.536 2.428
76 1.521 2.023
77 1.689 2.489
78 2.012 2.373
79 2.447 2.569
80 2.939 3.066
81 3.428 4.055
82 3.855 4.207
83 4.163 5.124
84 4.311 4.880
85 4.270 4.880
86 4.031 4.286
87 3.604 4.173
88 3.016 3.116
89 2.312 2.849
90 1.545 2.111
91 0.777 1.246
92 0.068 0.121
93 -0.527 0.401
94 -0.965 -0.277
95 -1.218 -0.881
96 -1.275 -0.903
97 -1.147 -1.111
98 -0.862 -0.068
99 -0.461 -0.232
100 0.000 0.788
101 0.461 0.885
102 0.862 0.924
103 1.147 1.804
104 1.275 2.143
105 1.218 1.364
106 0.965 1.203
107 0.527 0.586
108 -0.068 0.878
109 -0.777 -0.177
110 -1.545 -1.363
111 -2.312 -1.549
112 -3.016 -2.790
113 -3.604 -3.380
114 -4.031 -3.307
115 -4.270 -3.785
116 -4.311 -3.786
117 -4.163 -3.494
118 -3.855 -3.110
119 -3.428 -2.803
120 -2.939 -2.734
121 -2.446 -2.136
122 -2.012 -1.228
123 -1.689 -0.739
124 -1.521 -0.593
125 -1.536 -1.375
126 -1.743 -0.766
127 -2.133 -1.834
128 -2.677 -2.479
129 -3.333 -2.562
130 -4.045 -3.827
131 -4.753 -4.077
132 -5.397 -4.512
133 -5.922 -5.641
134 -6.284 -6.262
135 -6.455 -5.703
136 -6.426 -5.999
137 -6.207 -5.947
138 -5.824 -5.013
139 -5.322 -5.260
140 -4.755 -4.205
141 -4.183 -3.500
142 -3.667 -2.841
143 -3.262 -2.795
144 -3.009 -2.101
145 -2.938 -2.699
146 -3.058 -2.106
147 -3.360 -3.238
148 -3.815 -2.907
149 -4.380 -3.684
150 -5.000 -4.253
151 -5.616 -4.813
152 -6.166 -5.470
153 -6.596 -6.375
154 -6.863 -6.111
155 -6.938 -6.315
156 -6.814 -6.432
157 -6.498 -5.769
158 -6.018 -5.405
159 -5.419 -4.839
160 -4.755 -4.566
161 -4.086 -3.255
162 -3.473 -3.218
163 -2.971 -2.898
164 -2.622 -2.511
165 -2.455 -2.178
166 -2.479 -1.964
167 -2.686 -2.458
168 -3.046 -2.818
169 -3.517 -3.502
170 -4.045 -3.063
171 -4.569 -3.791
172 -5.028 -4.639
173 -5.369 -4.872
174 -5.547 -5.303
175 -5.536 -5.240
176 -5.325 -4.589
177 -4.925 -4.729
178 -4.363 -4.255
